"n","p","m","sparsity","MSE","TPR","FPR","iter_to_coverge"
10,6,2,0.105,0.171944305345173,0.190769230769231,0.00333333333333333,680.68
50,6,2,0.2,0.0668583346765853,0.369230769230769,0,241.94
100,6,2,0.24,0.0356910879550238,0.443076923076923,0,85.24
200,6,2,0.343333333333333,0.0221132274315993,0.633846153846154,0,62.16
400,6,2,0.458333333333333,0.0131207270519516,0.846153846153846,0,56
